 count | bitstring | b4h  | b8h | b16h 
   278 | 10001000  | 2020 | 42H | 88
   279 | 10001001  | 2021 | 42M | 89
   280 | 1000101   | 202Q | 42Q | 8T
   281 | 10001010  | 2022 | 42R | 8a
   282 | 10001011  | 2023 | 42V | 8b
   283 | 100011    | 203  | 43  | 8V
   284 | 1000110   | 203G | 43G | 8Z
   285 | 10001100  | 2030 | 43H | 8c
   286 | 10001101  | 2031 | 43M | 8d
   287 | 1000111   | 203Q | 43Q | 8Y
   288 | 10001110  | 2032 | 43R | 8e
   289 | 10001111  | 2033 | 43V | 8f
   290 | 1001      | 21   | 4Q  | 9
   291 | 10010     | 21G  | 4R  | 9G
   292 | 100100    | 210  | 44  | 9H
   293 | 1001000   | 210G | 44G | 9J
   294 | 10010000  | 2100 | 44H | 90
   295 | 10010001  | 2101 | 44M | 91
   296 | 1001001   | 210Q | 44Q | 9K
   297 | 10010010  | 2102 | 44R | 92
   298 | 10010011  | 2103 | 44V | 93
   299 | 100101    | 211  | 45  | 9M
   300 | 1001010   | 211G | 45G | 9N
   301 | 10010100  | 2110 | 45H | 94
   302 | 10010101  | 2111 | 45M | 95
   303 | 1001011   | 211Q | 45Q | 9P
   304 | 10010110  | 2112 | 45R | 96
   305 | 10010111  | 2113 | 45V | 97
   306 | 10011     | 21Q  | 4V  | 9Q
   307 | 100110    | 212  | 46  | 9R
   308 | 1001100   | 212G | 46G | 9S
   309 | 10011000  | 2120 | 46H | 98
   310 | 10011001  | 2121 | 46M | 99
   311 | 1001101   | 212Q | 46Q | 9T
   312 | 10011010  | 2122 | 46R | 9a
   313 | 10011011  | 2123 | 46V | 9b
   314 | 100111    | 213  | 47  | 9V
   315 | 1001110   | 213G | 47G | 9Z
   316 | 10011100  | 2130 | 47H | 9c
   317 | 10011101  | 2131 | 47M | 9d
   318 | 1001111   | 213Q | 47Q | 9Y
   319 | 10011110  | 2132 | 47R | 9e
   320 | 10011111  | 2133 | 47V | 9f
   321 | 101       | 2Q   | 5   | T
   322 | 1010      | 22   | 5G  | a
   323 | 10100     | 22G  | 5H  | aG
   324 | 101000    | 220  | 50  | aH
   325 | 1010000   | 220G | 50G | aJ
   326 | 10100000  | 2200 | 50H | a0
   327 | 10100001  | 2201 | 50M | a1
   328 | 1010001   | 220Q | 50Q | aK
   329 | 10100010  | 2202 | 50R | a2
   330 | 10100011  | 2203 | 50V | a3
   331 | 101001    | 221  | 51  | aM
   332 | 1010010   | 221G | 51G | aN
   333 | 10100100  | 2210 | 51H | a4
   334 | 10100101  | 2211 | 51M | a5
   335 | 1010011   | 221Q | 51Q | aP
   336 | 10100110  | 2212 | 51R | a6
   337 | 10100111  | 2213 | 51V | a7
   338 | 10101     | 22Q  | 5M  | aQ
   339 | 101010    | 222  | 52  | aR
   340 | 1010100   | 222G | 52G | aS
   341 | 10101000  | 2220 | 52H | a8
   342 | 10101001  | 2221 | 52M | a9
   343 | 1010101   | 222Q | 52Q | aT
   344 | 10101010  | 2222 | 52R | aa
   345 | 10101011  | 2223 | 52V | ab
   346 | 101011    | 223  | 53  | aV
   347 | 1010110   | 223G | 53G | aZ
   348 | 10101100  | 2230 | 53H | ac
   349 | 10101101  | 2231 | 53M | ad
   350 | 1010111   | 223Q | 53Q | aY
   351 | 10101110  | 2232 | 53R | ae
   352 | 10101111  | 2233 | 53V | af
   353 | 1011      | 23   | 5Q  | b
   354 | 10110     | 23G  | 5R  | bG
   355 | 101100    | 230  | 54  | bH
   356 | 1011000   | 230G | 54G | bJ
   357 | 10110000  | 2300 | 54H | b0
   358 | 10110001  | 2301 | 54M | b1
   359 | 1011001   | 230Q | 54Q | bK
   360 | 10110010  | 2302 | 54R | b2
   361 | 10110011  | 2303 | 54V | b3
   362 | 101101    | 231  | 55  | bM
   363 | 1011010   | 231G | 55G | bN
   364 | 10110100  | 2310 | 55H | b4
   365 | 10110101  | 2311 | 55M | b5
   366 | 1011011   | 231Q | 55Q | bP
   367 | 10110110  | 2312 | 55R | b6
   368 | 10110111  | 2313 | 55V | b7
   369 | 10111     | 23Q  | 5V  | bQ
   370 | 101110    | 232  | 56  | bR
   371 | 1011100   | 232G | 56G | bS
   372 | 10111000  | 2320 | 56H | b8
   373 | 10111001  | 2321 | 56M | b9
   374 | 1011101   | 232Q | 56Q | bT
   375 | 10111010  | 2322 | 56R | ba
   376 | 10111011  | 2323 | 56V | bb
   377 | 101111    | 233  | 57  | bV
   378 | 1011110   | 233G | 57G | bZ
   379 | 10111100  | 2330 | 57H | bc
   380 | 10111101  | 2331 | 57M | bd
   381 | 1011111   | 233Q | 57Q | bY
   382 | 10111110  | 2332 | 57R | be
   383 | 10111111  | 2333 | 57V | bf
   384 | 11        | 3    | V   | V
   385 | 110       | 3G   | 6   | Z
   386 | 1100      | 30   | 6G  | c
   387 | 11000     | 30G  | 6H  | cG
   388 | 110000    | 300  | 60  | cH
   389 | 1100000   | 300G | 60G | cJ
   390 | 11000000  | 3000 | 60H | c0
   391 | 11000001  | 3001 | 60M | c1
   392 | 1100001   | 300Q | 60Q | cK
   393 | 11000010  | 3002 | 60R | c2
   394 | 11000011  | 3003 | 60V | c3
   395 | 110001    | 301  | 61  | cM
   396 | 1100010   | 301G | 61G | cN
   397 | 11000100  | 3010 | 61H | c4
   398 | 11000101  | 3011 | 61M | c5
   399 | 1100011   | 301Q | 61Q | cP
   400 | 11000110  | 3012 | 61R | c6
   401 | 11000111  | 3013 | 61V | c7
   402 | 11001     | 30Q  | 6M  | cQ
   403 | 110010    | 302  | 62  | cR
   404 | 1100100   | 302G | 62G | cS
   405 | 11001000  | 3020 | 62H | c8
   406 | 11001001  | 3021 | 62M | c9
   407 | 1100101   | 302Q | 62Q | cT
   408 | 11001010  | 3022 | 62R | ca
   409 | 11001011  | 3023 | 62V | cb
   410 | 110011    | 303  | 63  | cV
   411 | 1100110   | 303G | 63G | cZ
   412 | 11001100  | 3030 | 63H | cc
   413 | 11001101  | 3031 | 63M | cd
   414 | 1100111   | 303Q | 63Q | cY
   415 | 11001110  | 3032 | 63R | ce
   416 | 11001111  | 3033 | 63V | cf
   417 | 1101      | 31   | 6Q  | d
   418 | 11010     | 31G  | 6R  | dG
   419 | 110100    | 310  | 64  | dH
   420 | 1101000   | 310G | 64G | dJ
   421 | 11010000  | 3100 | 64H | d0
   422 | 11010001  | 3101 | 64M | d1
   423 | 1101001   | 310Q | 64Q | dK
   424 | 11010010  | 3102 | 64R | d2
   425 | 11010011  | 3103 | 64V | d3
   426 | 110101    | 311  | 65  | dM
   427 | 1101010   | 311G | 65G | dN
   428 | 11010100  | 3110 | 65H | d4
   429 | 11010101  | 3111 | 65M | d5
   430 | 1101011   | 311Q | 65Q | dP
   431 | 11010110  | 3112 | 65R | d6
   432 | 11010111  | 3113 | 65V | d7
   433 | 11011     | 31Q  | 6V  | dQ
   434 | 110110    | 312  | 66  | dR
   435 | 1101100   | 312G | 66G | dS
   436 | 11011000  | 3120 | 66H | d8
   437 | 11011001  | 3121 | 66M | d9
   438 | 1101101   | 312Q | 66Q | dT
   439 | 11011010  | 3122 | 66R | da
   440 | 11011011  | 3123 | 66V | db
   441 | 110111    | 313  | 67  | dV
   442 | 1101110   | 313G | 67G | dZ
   443 | 11011100  | 3130 | 67H | dc
   444 | 11011101  | 3131 | 67M | dd
   445 | 1101111   | 313Q | 67Q | dY
   446 | 11011110  | 3132 | 67R | de
   447 | 11011111  | 3133 | 67V | df
   448 | 111       | 3Q   | 7   | Y
   449 | 1110      | 32   | 7G  | e
   450 | 11100     | 32G  | 7H  | eG
   451 | 111000    | 320  | 70  | eH
   452 | 1110000   | 320G | 70G | eJ
   453 | 11100000  | 3200 | 70H | e0
   454 | 11100001  | 3201 | 70M | e1
   455 | 1110001   | 320Q | 70Q | eK
   456 | 11100010  | 3202 | 70R | e2
   457 | 11100011  | 3203 | 70V | e3
   458 | 111001    | 321  | 71  | eM
   459 | 1110010   | 321G | 71G | eN
   460 | 11100100  | 3210 | 71H | e4
   461 | 11100101  | 3211 | 71M | e5
   462 | 1110011   | 321Q | 71Q | eP
   463 | 11100110  | 3212 | 71R | e6
   464 | 11100111  | 3213 | 71V | e7
   465 | 11101     | 32Q  | 7M  | eQ
   466 | 111010    | 322  | 72  | eR
   467 | 1110100   | 322G | 72G | eS
   468 | 11101000  | 3220 | 72H | e8
   469 | 11101001  | 3221 | 72M | e9
   470 | 1110101   | 322Q | 72Q | eT
   471 | 11101010  | 3222 | 72R | ea
   472 | 11101011  | 3223 | 72V | eb
   473 | 111011    | 323  | 73  | eV
   474 | 1110110   | 323G | 73G | eZ
   475 | 11101100  | 3230 | 73H | ec
   476 | 11101101  | 3231 | 73M | ed
   477 | 1110111   | 323Q | 73Q | eY
   478 | 11101110  | 3232 | 73R | ee
   479 | 11101111  | 3233 | 73V | ef
   480 | 1111      | 33   | 7Q  | f
   481 | 11110     | 33G  | 7R  | fG
   482 | 111100    | 330  | 74  | fH
   483 | 1111000   | 330G | 74G | fJ
   484 | 11110000  | 3300 | 74H | f0
   485 | 11110001  | 3301 | 74M | f1
   486 | 1111001   | 330Q | 74Q | fK
   487 | 11110010  | 3302 | 74R | f2
   488 | 11110011  | 3303 | 74V | f3
   489 | 111101    | 331  | 75  | fM
   490 | 1111010   | 331G | 75G | fN
   491 | 11110100  | 3310 | 75H | f4
   492 | 11110101  | 3311 | 75M | f5
   493 | 1111011   | 331Q | 75Q | fP
   494 | 11110110  | 3312 | 75R | f6
   495 | 11110111  | 3313 | 75V | f7
   496 | 11111     | 33Q  | 7V  | fQ
   497 | 111110    | 332  | 76  | fR
   498 | 1111100   | 332G | 76G | fS
   499 | 11111000  | 3320 | 76H | f8
   500 | 11111001  | 3321 | 76M | f9
   501 | 1111101   | 332Q | 76Q | fT
   502 | 11111010  | 3322 | 76R | fa
   503 | 11111011  | 3323 | 76V | fb
   504 | 111111    | 333  | 77  | fV
   505 | 1111110   | 333G | 77G | fZ
   506 | 11111100  | 3330 | 77H | fc
   507 | 11111101  | 3331 | 77M | fd
   508 | 1111111   | 333Q | 77Q | fY
   509 | 11111110  | 3332 | 77R | fe
   510 | 11111111  | 3333 | 77V | ff
(511 rows)

 count | bitstring | b4h | b8h | b16h 
-------+-----------+-----+-----+------
     1 | 0         | G   | G   | G
     2 | 1         | Q   | Q   | Q
     3 | 00        | 0   | H   | H
     4 | 01        | 1   | M   | M
     5 | 10        | 2   | R   | R
     6 | 11        | 3   | V   | V
     7 | 000       | 0G  | 0   | J
     8 | 001       | 0Q  | 1   | K
     9 | 010       | 1G  | 2   | N
    10 | 011       | 1Q  | 3   | P
    11 | 100       | 2G  | 4   | S
    12 | 101       | 2Q  | 5   | T
    13 | 110       | 3G  | 6   | Z
    14 | 111       | 3Q  | 7   | Y
    15 | 0000      | 00  | 0G  | 0
    16 | 0001      | 01  | 0Q  | 1
    17 | 0010      | 02  | 1G  | 2
    18 | 0011      | 03  | 1Q  | 3
    19 | 0100      | 10  | 2G  | 4
    20 | 0101      | 11  | 2Q  | 5
    21 | 0110      | 12  | 3G  | 6
    22 | 0111      | 13  | 3Q  | 7
    23 | 1000      | 20  | 4G  | 8
    24 | 1001      | 21  | 4Q  | 9
    25 | 1010      | 22  | 5G  | a
    26 | 1011      | 23  | 5Q  | b
    27 | 1100      | 30  | 6G  | c
    28 | 1101      | 31  | 6Q  | d
    29 | 1110      | 32  | 7G  | e
    30 | 1111      | 33  | 7Q  | f
    31 | 00000     | 00G | 0H  | 0G
    32 | 00001     | 00Q | 0M  | 0Q
    33 | 00010     | 01G | 0R  | 1G
    34 | 00011     | 01Q | 0V  | 1Q
    35 | 00100     | 02G | 1H  | 2G
(35 rows)

