 count | bitstring | hInt  | hidd 
   299 | 100101    | 18950 |  101
   300 | 1001010   | 18951 |  202
   301 | 10010100  | 18952 |  404
   302 | 10010101  | 19080 |  405
   303 | 1001011   | 19207 |  203
   304 | 10010110  | 19208 |  406
   305 | 10010111  | 19336 |  407
   306 | 10011     | 19461 |   51
   307 | 100110    | 19462 |  102
   308 | 1001100   | 19463 |  204
   309 | 10011000  | 19464 |  408
   310 | 10011001  | 19592 |  409
   311 | 1001101   | 19719 |  205
   312 | 10011010  | 19720 |  410
   313 | 10011011  | 19848 |  411
   314 | 100111    | 19974 |  103
   315 | 1001110   | 19975 |  206
   316 | 10011100  | 19976 |  412
   317 | 10011101  | 20104 |  413
   318 | 1001111   | 20231 |  207
   319 | 10011110  | 20232 |  414
   320 | 10011111  | 20360 |  415
   321 | 101       | 20483 |   13
   322 | 1010      | 20484 |   26
   323 | 10100     | 20485 |   52
   324 | 101000    | 20486 |  104
   325 | 1010000   | 20487 |  208
   326 | 10100000  | 20488 |  416
   327 | 10100001  | 20616 |  417
   328 | 1010001   | 20743 |  209
   329 | 10100010  | 20744 |  418
   330 | 10100011  | 20872 |  419
   331 | 101001    | 20998 |  105
   332 | 1010010   | 20999 |  210
   333 | 10100100  | 21000 |  420
   334 | 10100101  | 21128 |  421
   335 | 1010011   | 21255 |  211
   336 | 10100110  | 21256 |  422
   337 | 10100111  | 21384 |  423
   338 | 10101     | 21509 |   53
   339 | 101010    | 21510 |  106
   340 | 1010100   | 21511 |  212
   341 | 10101000  | 21512 |  424
   342 | 10101001  | 21640 |  425
   343 | 1010101   | 21767 |  213
   344 | 10101010  | 21768 |  426
   345 | 10101011  | 21896 |  427
   346 | 101011    | 22022 |  107
   347 | 1010110   | 22023 |  214
   348 | 10101100  | 22024 |  428
   349 | 10101101  | 22152 |  429
   350 | 1010111   | 22279 |  215
   351 | 10101110  | 22280 |  430
   352 | 10101111  | 22408 |  431
   353 | 1011      | 22532 |   27
   354 | 10110     | 22533 |   54
   355 | 101100    | 22534 |  108
   356 | 1011000   | 22535 |  216
   357 | 10110000  | 22536 |  432
   358 | 10110001  | 22664 |  433
   359 | 1011001   | 22791 |  217
   360 | 10110010  | 22792 |  434
   361 | 10110011  | 22920 |  435
   362 | 101101    | 23046 |  109
   363 | 1011010   | 23047 |  218
   364 | 10110100  | 23048 |  436
   365 | 10110101  | 23176 |  437
   366 | 1011011   | 23303 |  219
   367 | 10110110  | 23304 |  438
   368 | 10110111  | 23432 |  439
   369 | 10111     | 23557 |   55
   370 | 101110    | 23558 |  110
   371 | 1011100   | 23559 |  220
   372 | 10111000  | 23560 |  440
   373 | 10111001  | 23688 |  441
   374 | 1011101   | 23815 |  221
   375 | 10111010  | 23816 |  442
   376 | 10111011  | 23944 |  443
   377 | 101111    | 24070 |  111
   378 | 1011110   | 24071 |  222
   379 | 10111100  | 24072 |  444
   380 | 10111101  | 24200 |  445
   381 | 1011111   | 24327 |  223
   382 | 10111110  | 24328 |  446
   383 | 10111111  | 24456 |  447
   384 | 11        | 24578 |    7
   385 | 110       | 24579 |   14
   386 | 1100      | 24580 |   28
   387 | 11000     | 24581 |   56
   388 | 110000    | 24582 |  112
   389 | 1100000   | 24583 |  224
   390 | 11000000  | 24584 |  448
   391 | 11000001  | 24712 |  449
   392 | 1100001   | 24839 |  225
   393 | 11000010  | 24840 |  450
   394 | 11000011  | 24968 |  451
   395 | 110001    | 25094 |  113
   396 | 1100010   | 25095 |  226
   397 | 11000100  | 25096 |  452
   398 | 11000101  | 25224 |  453
   399 | 1100011   | 25351 |  227
   400 | 11000110  | 25352 |  454
   401 | 11000111  | 25480 |  455
   402 | 11001     | 25605 |   57
   403 | 110010    | 25606 |  114
   404 | 1100100   | 25607 |  228
   405 | 11001000  | 25608 |  456
   406 | 11001001  | 25736 |  457
   407 | 1100101   | 25863 |  229
   408 | 11001010  | 25864 |  458
   409 | 11001011  | 25992 |  459
   410 | 110011    | 26118 |  115
   411 | 1100110   | 26119 |  230
   412 | 11001100  | 26120 |  460
   413 | 11001101  | 26248 |  461
   414 | 1100111   | 26375 |  231
   415 | 11001110  | 26376 |  462
   416 | 11001111  | 26504 |  463
   417 | 1101      | 26628 |   29
   418 | 11010     | 26629 |   58
   419 | 110100    | 26630 |  116
   420 | 1101000   | 26631 |  232
   421 | 11010000  | 26632 |  464
   422 | 11010001  | 26760 |  465
   423 | 1101001   | 26887 |  233
   424 | 11010010  | 26888 |  466
   425 | 11010011  | 27016 |  467
   426 | 110101    | 27142 |  117
   427 | 1101010   | 27143 |  234
   428 | 11010100  | 27144 |  468
   429 | 11010101  | 27272 |  469
   430 | 1101011   | 27399 |  235
   431 | 11010110  | 27400 |  470
   432 | 11010111  | 27528 |  471
   433 | 11011     | 27653 |   59
   434 | 110110    | 27654 |  118
   435 | 1101100   | 27655 |  236
   436 | 11011000  | 27656 |  472
   437 | 11011001  | 27784 |  473
   438 | 1101101   | 27911 |  237
   439 | 11011010  | 27912 |  474
   440 | 11011011  | 28040 |  475
   441 | 110111    | 28166 |  119
   442 | 1101110   | 28167 |  238
   443 | 11011100  | 28168 |  476
   444 | 11011101  | 28296 |  477
   445 | 1101111   | 28423 |  239
   446 | 11011110  | 28424 |  478
   447 | 11011111  | 28552 |  479
   448 | 111       | 28675 |   15
   449 | 1110      | 28676 |   30
   450 | 11100     | 28677 |   60
   451 | 111000    | 28678 |  120
   452 | 1110000   | 28679 |  240
   453 | 11100000  | 28680 |  480
   454 | 11100001  | 28808 |  481
   455 | 1110001   | 28935 |  241
   456 | 11100010  | 28936 |  482
   457 | 11100011  | 29064 |  483
   458 | 111001    | 29190 |  121
   459 | 1110010   | 29191 |  242
   460 | 11100100  | 29192 |  484
   461 | 11100101  | 29320 |  485
   462 | 1110011   | 29447 |  243
   463 | 11100110  | 29448 |  486
   464 | 11100111  | 29576 |  487
   465 | 11101     | 29701 |   61
   466 | 111010    | 29702 |  122
   467 | 1110100   | 29703 |  244
   468 | 11101000  | 29704 |  488
   469 | 11101001  | 29832 |  489
   470 | 1110101   | 29959 |  245
   471 | 11101010  | 29960 |  490
   472 | 11101011  | 30088 |  491
   473 | 111011    | 30214 |  123
   474 | 1110110   | 30215 |  246
   475 | 11101100  | 30216 |  492
   476 | 11101101  | 30344 |  493
   477 | 1110111   | 30471 |  247
   478 | 11101110  | 30472 |  494
   479 | 11101111  | 30600 |  495
   480 | 1111      | 30724 |   31
   481 | 11110     | 30725 |   62
   482 | 111100    | 30726 |  124
   483 | 1111000   | 30727 |  248
   484 | 11110000  | 30728 |  496
   485 | 11110001  | 30856 |  497
   486 | 1111001   | 30983 |  249
   487 | 11110010  | 30984 |  498
   488 | 11110011  | 31112 |  499
   489 | 111101    | 31238 |  125
   490 | 1111010   | 31239 |  250
   491 | 11110100  | 31240 |  500
   492 | 11110101  | 31368 |  501
   493 | 1111011   | 31495 |  251
   494 | 11110110  | 31496 |  502
   495 | 11110111  | 31624 |  503
   496 | 11111     | 31749 |   63
   497 | 111110    | 31750 |  126
   498 | 1111100   | 31751 |  252
   499 | 11111000  | 31752 |  504
   500 | 11111001  | 31880 |  505
   501 | 1111101   | 32007 |  253
   502 | 11111010  | 32008 |  506
   503 | 11111011  | 32136 |  507
   504 | 111111    | 32262 |  127
   505 | 1111110   | 32263 |  254
   506 | 11111100  | 32264 |  508
   507 | 11111101  | 32392 |  509
   508 | 1111111   | 32519 |  255
   509 | 11111110  | 32520 |  510
   510 | 11111111  | 32648 |  511
(511 rows)

 count | bitstring | hInt  | hidd 
-------+-----------+-------+------
     1 | 0         |     1 |    2
     2 | 1         | 16385 |    3
     3 | 00        |     2 |    4
     4 | 01        |  8194 |    5
     5 | 10        | 16386 |    6
     6 | 11        | 24578 |    7
     7 | 000       |     3 |    8
     8 | 001       |  4099 |    9
     9 | 010       |  8195 |   10
    10 | 011       | 12291 |   11
    11 | 100       | 16387 |   12
    12 | 101       | 20483 |   13
